"CO₂ 
(Gg)";1990;1991;1992;1993;1994;1995;1996;1997;1998;1999;2000;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016
Minas Gerais; 19.406 ; 19.288 ; 19.677 ; 19.608 ; 19.423 ; 32.643 ; 26.284 ; 32.406 ; 27.358 ; 31.723 ; 32.269 ; 19.745 ; 19.690 ; 59.901 ; 64.915 ; 25.371 ; 29.431 ; 19.196 ; 18.561 ;-5.283 ;-5.670 ; 15.810 ; 19.385 ; 28.428 ; 26.398 ; 8.774 ;-12.026 
Espírito Santo; 873 ; 271 ; 62 ; 283 ;-580 ; 1.884 ; 562 ;-10 ; 477 ; 49 ;-821 ;-3.125 ;-3.697 ;-3.479 ;-3.609 ;-3.871 ;-3.839 ;-3.413 ;-3.933 ;-4.069 ;-4.065 ; 226 ;-2.085 ;-2.536 ;-2.849 ;-981 ;-6 
Rio de Janeiro; 2.621 ; 2.616 ; 2.606 ; 2.644 ; 2.619 ; 7.511 ;-153 ;-173 ;-172 ;-171 ;-171 ;-332 ;-375 ;-69 ;-79 ;-152 ; 645 ; 687 ; 632 ;-151 ;-137 ;-147 ; 148 ;-312 ;-181 ;-180 ;-247 
São Paulo; 1.550 ; 654 ; 1.052 ; 1.331 ; 1.523 ; 10.789 ; 4.939 ; 617 ; 733 ;-1.317 ;-385 ;-9.528 ;-10.526 ; 9.818 ; 6.268 ; 6.505 ; 3.417 ;-14.681 ;-13.178 ;-13.281 ;-15.019 ;-7.236 ;-5.857 ;-4.572 ;-3.528 ;-7.922 ;-2.006 
Paraná; 373 ;-866 ;-906 ;-1.670 ;-2.358 ; 3.765 ; 19.421 ; 15.295 ; 16.301 ; 15.372 ; 15.697 ;-8.613 ;-7.832 ; 2.346 ; 1.864 ; 23 ;-7.494 ;-8.564 ;-7.767 ;-12.577 ;-12.515 ;-9.160 ;-2.711 ;-1.773 ;-8.247 ;-3.872 ;-3.770 
Santa Catarina; 3.844 ; 2.801 ; 2.945 ; 2.601 ; 112 ; 8.836 ; 3.357 ; 842 ; 1.503 ;-279 ;-931 ;-6.880 ;-7.047 ;-5.322 ;-7.214 ;-6.381 ;-7.216 ;-6.407 ;-5.878 ;-15.549 ;-16.816 ;-6.307 ;-4.583 ;-1.905 ; 362 ;-2.893 ;-2.932 
Rio Grande do Sul; 7.250 ; 7.091 ; 7.109 ; 6.560 ; 6.351 ; 11.548 ; 5.899 ; 4.648 ; 4.663 ; 4.528 ; 4.270 ; 1.744 ; 1.319 ; 9.359 ; 8.906 ; 8.447 ; 10.445 ; 10.339 ; 10.203 ; 8.180 ; 14.547 ; 4.732 ; 5.034 ; 5.504 ; 3.233 ; 4.131 ; 4.200 
Mato Grosso do Sul; 21.328 ; 21.195 ; 21.553 ; 21.470 ; 21.311 ; 20.756 ; 26.131 ; 26.121 ; 25.795 ; 25.664 ; 25.611 ; 18.392 ; 18.367 ; 109.482 ; 109.306 ; 69.789 ; 67.959 ; 35.984 ; 35.530 ; 11.450 ; 10.863 ; 8.452 ; 7.099 ; 14.844 ; 3.041 ; 19.119 ; 2.855 
Mato Grosso; 220.589 ; 182.538 ; 211.817 ; 225.165 ; 223.275 ; 459.929 ; 298.209 ; 248.347 ; 290.295 ; 318.416 ; 284.155 ; 351.217 ; 349.149 ; 621.696 ; 704.129 ; 361.469 ; 282.450 ; 162.796 ; 201.557 ; 25.813 ; 14.208 ; 89.438 ; 56.764 ; 111.166 ; 82.777 ; 150.233 ; 125.141 
Goiás; 32.534 ; 32.422 ; 33.073 ; 32.844 ; 32.564 ; 45.198 ; 45.730 ; 45.694 ; 45.694 ; 45.554 ; 45.605 ; 45.069 ; 44.286 ; 96.339 ; 96.322 ; 27.889 ; 27.427 ; 13.357 ; 13.380 ; 12.420 ; 12.375 ; 21.303 ; 21.401 ; 37.019 ; 27.738 ; 27.737 ; 11.142 
Distrito Federal; 125 ; 134 ; 148 ; 142 ; 142 ; 271 ; 258 ; 236 ; 271 ; 274 ; 273 ; 273 ; 273 ; 1.194 ; 1.194 ; 117 ; 117 ;-182 ;-182 ;-141 ;-141 ;-69 ;-69 ; 95 ; 406 ;-145 ;-230 
Brasil; 860.893 ; 684.597 ; 790.137 ; 824.453 ; 802.131 ; 1.875.495 ; 1.180.685 ; 859.706 ; 1.107.623 ; 1.061.880 ; 1.110.480 ; 1.057.520 ; 1.257.137 ; 2.296.717 ; 2.482.398 ; 1.479.731 ; 1.133.831 ; 793.759 ; 899.085 ; 284.056 ; 220.461 ; 300.253 ; 155.421 ; 354.221 ; 214.254 ; 334.796 ; 365.404 
;;;;;;;;;;;;;;;;;;;;;;;;;;;
