"CO₂ 
(Gg)";1990;1991;1992;1993;1994;1995;1996;1997;1998;1999;2000;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016
Minas Gerais; 50.530 ; 53.475 ; 51.877 ; 52.774 ; 52.791 ; 69.879 ; 65.420 ; 74.837 ; 70.694 ; 74.615 ; 77.240 ; 64.150 ; 64.661 ; 104.168 ; 111.080 ; 72.931 ; 78.540 ; 74.405 ; 74.365 ; 43.577 ; 52.386 ; 75.600 ; 82.299 ; 92.523 ; 91.465 ; 68.242 ; 47.609 
Espírito Santo; 10.297 ; 10.430 ; 10.076 ; 10.524 ; 10.395 ; 13.566 ; 11.801 ; 12.041 ; 13.256 ; 12.651 ; 14.381 ; 11.426 ; 11.453 ; 11.953 ; 10.608 ; 10.862 ; 11.711 ; 15.431 ; 17.630 ; 13.278 ; 17.209 ; 24.327 ; 20.798 ; 21.770 ; 23.729 ; 26.233 ; 25.928 
Rio de Janeiro; 34.628 ; 33.195 ; 33.059 ; 34.416 ; 36.346 ; 44.587 ; 40.496 ; 42.735 ; 41.506 ; 42.628 ; 46.146 ; 48.914 ; 49.731 ; 48.570 ; 50.517 ; 54.437 ; 57.012 ; 61.785 ; 69.781 ; 65.237 ; 66.029 ; 65.748 ; 74.861 ; 82.438 ; 88.587 ; 84.828 ; 76.283 
São Paulo; 62.889 ; 62.922 ; 64.256 ; 65.728 ; 68.015 ; 81.790 ; 81.245 ; 81.842 ; 82.328 ; 83.718 ; 87.328 ; 80.109 ; 76.832 ; 95.163 ; 94.474 ; 91.333 ; 90.056 ; 78.097 ; 80.151 ; 74.703 ; 82.514 ; 97.146 ; 104.512 ; 108.441 ; 106.889 ; 96.467 ; 96.631 
Paraná; 14.490 ; 14.031 ; 13.888 ; 13.825 ; 15.233 ; 21.570 ; 39.819 ; 36.336 ; 39.287 ; 36.486 ; 36.195 ; 11.952 ; 12.163 ; 22.920 ; 23.597 ; 22.694 ; 12.945 ; 13.773 ; 15.073 ; 9.598 ; 11.954 ; 16.104 ; 26.040 ; 28.258 ; 22.754 ; 25.526 ; 24.519 
Santa Catarina; 9.757 ; 9.113 ; 9.542 ; 9.890 ; 7.406 ; 16.896 ; 11.870 ; 9.921 ; 11.085 ; 9.848 ; 9.559 ; 3.500 ; 3.777 ; 5.264 ; 4.216 ; 4.977 ; 4.364 ; 5.606 ; 6.657 ;-3.245 ;-2.842 ; 8.819 ; 11.525 ; 14.559 ; 16.997 ; 12.871 ; 13.133 
Rio Grande do Sul; 22.821 ; 22.502 ; 22.947 ; 23.011 ; 22.440 ; 27.507 ; 22.619 ; 22.552 ; 23.128 ; 23.584 ; 24.147 ; 21.965 ; 21.636 ; 29.623 ; 29.795 ; 28.239 ; 30.746 ; 30.786 ; 31.588 ; 28.814 ; 37.319 ; 29.160 ; 29.930 ; 32.106 ; 29.603 ; 32.703 ; 30.007 
Mato Grosso do Sul; 25.136 ; 25.146 ; 25.354 ; 25.632 ; 25.506 ; 24.940 ; 30.520 ; 30.853 ; 30.482 ; 30.409 ; 30.491 ; 23.455 ; 23.731 ; 115.089 ; 115.077 ; 75.509 ; 73.067 ; 41.005 ; 41.028 ; 16.803 ; 17.928 ; 15.273 ; 16.121 ; 25.649 ; 15.077 ; 30.856 ; 12.273 
Mato Grosso; 225.651 ; 187.547 ; 217.064 ; 231.064 ; 229.775 ; 466.246 ; 304.519 ; 254.785 ; 297.401 ; 325.593 ; 292.436 ; 359.180 ; 358.229 ; 631.569 ; 715.440 ; 370.032 ; 289.866 ; 171.503 ; 210.223 ; 34.082 ; 23.261 ; 99.848 ; 68.796 ; 124.162 ; 96.059 ; 162.577 ; 136.836 
Goiás; 37.879 ; 37.965 ; 39.093 ; 39.448 ; 39.113 ; 52.238 ; 53.985 ; 53.947 ; 54.622 ; 55.020 ; 55.636 ; 54.445 ; 54.370 ; 106.444 ; 106.989 ; 38.356 ; 37.362 ; 24.246 ; 25.429 ; 23.114 ; 26.001 ; 35.822 ; 37.632 ; 54.130 ; 46.075 ; 44.048 ; 25.801 
Distrito Federal; 2.764 ; 2.876 ; 2.868 ; 2.983 ; 3.026 ; 3.421 ; 3.840 ; 4.223 ; 4.503 ; 4.137 ; 4.179 ; 4.259 ; 4.270 ; 4.962 ; 5.041 ; 4.012 ; 4.022 ; 3.929 ; 3.926 ; 4.103 ; 4.758 ; 5.233 ; 5.540 ; 5.977 ; 6.629 ; 5.757 ; 5.310 
Brasil; 1.093.435 ; 923.867 ; 1.031.526 ; 1.074.939 ; 1.061.961 ; 2.152.596 ; 1.478.147 ; 1.177.340 ; 1.435.494 ; 1.397.021 ; 1.458.729 ; 1.410.297 ; 1.612.275 ; 2.647.725 ; 2.849.186 ; 1.850.825 ; 1.509.776 ; 1.201.242 ; 1.324.648 ; 685.733 ; 670.265 ; 775.650 ; 665.884 ; 897.306 ; 782.646 ; 874.531 ; 873.272 
;;;;;;;;;;;;;;;;;;;;;;;;;;;
