"CO₂ 
(Gg)";1990;1991;1992;1993;1994;1995;1996;1997;1998;1999;2000;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016
São Paulo; 9.178 ; 9.856 ; 9.516 ; 9.918 ; 9.920 ; 10.826 ; 11.020 ; 11.648 ; 12.173 ; 11.871 ; 12.899 ; 12.527 ; 13.048 ; 13.320 ; 13.685 ; 13.939 ; 14.229 ; 17.280 ; 16.379 ; 14.347 ; 16.102 ; 16.516 ; 16.611 ; 16.842 ; 15.606 ; 14.527 ; 11.359 
Paraná; 1.950 ; 2.054 ; 1.806 ; 1.916 ; 1.886 ; 2.130 ; 2.414 ; 2.564 ; 2.660 ; 2.682 ; 2.722 ; 2.602 ; 2.549 ; 2.452 ; 2.511 ; 2.553 ; 2.411 ; 2.831 ; 3.053 ; 2.887 ; 3.178 ; 3.253 ; 3.179 ; 3.478 ; 3.276 ; 2.910 ; 2.852 
Santa Catarina; 286 ; 288 ; 266 ; 310 ; 295 ; 331 ; 369 ; 352 ; 338 ; 349 ; 384 ; 373 ; 367 ; 385 ; 406 ; 410 ; 415 ; 458 ; 518 ; 478 ; 603 ; 874 ; 1.246 ; 1.225 ; 1.356 ; 1.299 ; 1.278 
Rio Grande do Sul; 2.239 ; 2.292 ; 2.225 ; 2.417 ; 2.507 ; 2.664 ; 2.759 ; 2.991 ; 3.132 ; 3.189 ; 3.437 ; 3.279 ; 3.289 ; 3.378 ; 3.488 ; 3.436 ; 3.504 ; 3.945 ; 3.825 ; 3.622 ; 4.073 ; 4.414 ; 4.143 ; 4.315 ; 4.069 ; 4.036 ; 4.161 
Mato Grosso do Sul; 269 ; 282 ; 247 ; 266 ; 259 ; 296 ; 346 ; 358 ; 393 ; 396 ; 404 ; 392 ; 374 ; 382 ; 391 ; 393 ; 398 ; 441 ; 492 ; 477 ; 515 ; 551 ; 575 ; 561 ; 536 ; 497 ; 430 
Mato Grosso; 239 ; 250 ; 214 ; 231 ; 226 ; 257 ; 302 ; 317 ; 327 ; 334 ; 337 ; 321 ; 307 ; 292 ; 300 ; 315 ; 314 ; 386 ; 405 ; 427 ; 461 ; 536 ; 522 ; 699 ; 726 ; 664 ; 548 
Goiás; 358 ; 371 ; 336 ; 367 ; 354 ; 404 ; 467 ; 469 ; 526 ; 527 ; 549 ; 538 ; 516 ; 555 ; 570 ; 600 ; 591 ; 646 ; 739 ; 743 ; 875 ; 916 ; 994 ; 1.041 ; 986 ; 916 ; 801 
Distrito Federal; 673 ; 714 ; 595 ; 624 ; 617 ; 705 ; 845 ; 922 ; 972 ; 989 ; 971 ; 922 ; 874 ; 801 ; 814 ; 905 ; 961 ; 1.090 ; 1.015 ; 1.031 ; 1.192 ; 1.307 ; 1.444 ; 1.589 ; 1.646 ; 1.480 ; 1.176 
Brasil; 45.192 ; 48.834 ; 46.739 ; 48.279 ; 48.409 ; 53.139 ; 54.509 ; 58.302 ; 61.621 ; 59.890 ; 64.506 ; 62.487 ; 65.061 ; 65.828 ; 67.043 ; 67.660 ; 67.549 ; 82.971 ; 80.998 ; 72.337 ; 82.049 ; 88.632 ; 89.473 ; 90.395 ; 87.882 ; 87.652 ; 85.943 
;;;;;;;;;;;;;;;;;;;;;;;;;;;
